col_name,data_type,name,description
intervention,text,intervention ID,Intervention link to the interventions table
asset,text,asset ID,Asset link to the components table
asset_name,text,asset name,Name of the asset
include,logical,include,should it be included in the calculation
asset_class,text,asset_class,
asset_unit,text,asset_unit,
unit_type,text,unit_type,
asset_parameters,text,asset_parameters,
user_entered_parameters,text,user_entered_parameters,
tool_extracted_parameters,text,tool_extracted_parameters,
tool_calculated_parameters,text,tool_calculated_parameters,
