"intervention_asset","works_category_level_1","item","quantity","cf_name","input_unit","A5","asset_lifetime","replacements_during_lifetime","no_granular_data_A1-A3","no_granular_data_A4","no_granular_data_B2","no_granular_data_B4"
"Viaduct","Highways","Viaduct Access Tracks and Footpaths",0.67994,"Fill, aggregate and sand General mixture","tonnes",0.00647,"30","3",,,,
"Viaduct","Highways","Concrete kerbing",0.07297,"Kerb Pre-cast concrete 125x305mm","metres",0.00018,"30","3",,,,
"Viaduct","Highways","Limestone dust",8.41335,"Limestone - General","kg",6e-05,"30","3",,,,
"Viaduct","Highways","Kerbing",0.25193,"Grasscrete","m2",0.00155,"30","3",,,,
"Viaduct","Highways","Imported fill",1.50504,"Fill, aggregate and sand General mixture","tonnes",0.01431,"30","3",,,,
"Viaduct","Drainage","Geotextiles",13.45994,"Polypropylene (PP)","kg",0.0136,"120","0",,,,
"Viaduct","Drainage","HDPE Ridgidrain Perforated Pipe",12.72374,"HDPE - Pipe","kg",0.00644,"120","0",,,,
"Viaduct","Drainage","PVC Drainage Pipes",5.1241,"PVC - Pipe","kg",0.00332,"120","0",,,,
"Viaduct","Drainage","UPVC Membrane",3.23039,"UPVC - Film","kg",0.00205,"120","0",,,,
"Viaduct","Drainage","Drainage Stone (m3)",1.23661,"Fill, aggregate and sand General mixture","tonnes",0.00671,"120","0",,,,
"Viaduct","Noise Barriers","Acrylic",59.96439,"PMMA - Sheet","kg",0.05861,"30","3",,,,
"Viaduct","Noise Barriers","Rockwool",8.25236,"Insulation - Rockwool (Stonewool)","kg",0.00204,"30","3",,,,
"Viaduct","Noise Barriers","Steel Frame",312.95178,"Steel - Section","kg",0.16378,"30","3",,,,
"Viaduct","Noise Barriers","Longitudinal Steel Support Beam",156.88353,"Steel - Section","kg",0.0821,"30","3",,,,
"Viaduct","Noise Barriers","Vertical Steel Support Columns",369.67211,"Steel - Section","kg",0.19346,"30","3",,,,
"Viaduct","Noise Barriers","Vertical Steel Support Columns",10.80496,"Steel - Section","kg",0.00565,"30","3",,,,
"Viaduct","Noise Barriers","Absorptive top edge - beam",954.57864,"Steel - Section","kg",0.49957,"30","3",,,,
"Viaduct","Noise Barriers","Absorbative top edge - resonator",6.96499,"Polypropylene (PP)","kg",0.00642,"30","3",,,,
"Viaduct","Noise Barriers","Steel Cladding on Acrylic Wall",35.05712,"Polypropylene (PP)","kg",0.0323,"30","3",,,,
"Viaduct","Noise Barriers","Rubber flab",45.14688,"Rubber - General","kg",0.02679,"30","3",,,,
"Viaduct","Other","Temporary works - Viaduct Haul Road Hardstand",56.20178,"Fill, aggregate and sand General mixture","tonnes",0.30494,"120","0",,,,
"Viaduct","Concrete","Piling",16.0908,"Ready mix concrete  25% GGBS replacement - C40/50","m3",0.19444,"120","0",,,,
"Viaduct","Concrete","Pile Caps",3.79407,"Ready mix concrete  25% GGBS replacement - C40/50","m3",0.0832,"120","0",,,,
