"intervention","asset","asset_name","include","asset_class","asset_unit","unit_type","asset_parameters","user_entered_parameters","tool_extracted_parameters","tool_calculated_parameters"
"hs_line_grade","hs_emergency_access_point","Emergency Access Point",FALSE,"OP-AP-EA","number","number","number",,,"number"
"hs_line_grade","hs_maintenance_access_point","Maintenance Access Point",FALSE,"OP-AP-MA","number","number","number",,,"number"
"hs_line_grade","hs_mitigation_earthworks","Mitigation Earthworks",TRUE,"CV-CE-ME","m","length","length, volume",,"length","volume"
"hs_line_grade","hs_system_railheads","System railheads",FALSE,"CN-SC-SR","number","number","number",,,
"hs_line_grade","hs_track_double","Track (double)",TRUE,,"m","length","length, width",,"length",
"hs_line_grade","hs_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
"hs_line_grade","hs_pce","Point and crossings",FALSE,,"number","number","number","number",,
"hs_line_grade","hs_culvert","Culvert",TRUE,"CV-BR-CV","number","number","number",,"number",
"hs_line_cutting","hs_emergency_access_point","Emergency Access Point",FALSE,"OP-AP-EA","number","number","number",,,"number"
"hs_line_cutting","hs_maintenance_access_point","Maintenance Access Point",FALSE,"OP-AP-MA","number","number","number",,,"number"
"hs_line_cutting","hs_mitigation_earthworks","Mitigation Earthworks",TRUE,"CV-CE-ME","m","length","length, volume",,"length","volume"
"hs_line_cutting","hs_system_railheads","System railheads",FALSE,"CN-SC-SR","number","number","number",,,
"hs_line_cutting","hs_track_double","Track (double)",TRUE,,"m","length","length, width",,"length",
"hs_line_cutting","hs_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
"hs_line_cutting","hs_pce","Point and crossings",FALSE,,"number","number","number","number",,
"hs_line_cutting","hs_line_cutting","Cutting",TRUE,"CV-CE-CT","m","length","length, volume",,"length","volume"
"hs_line_embankment","hs_emergency_access_point","Emergency Access Point",FALSE,"OP-AP-EA","number","number","number",,,"number"
"hs_line_embankment","hs_maintenance_access_point","Maintenance Access Point",FALSE,"OP-AP-MA","number","number","number",,,"number"
"hs_line_embankment","hs_mitigation_earthworks","Mitigation Earthworks",TRUE,"CV-CE-ME","m","length","length, volume",,"length","volume"
"hs_line_embankment","hs_system_railheads","System railheads",FALSE,"CN-SC-SR","number","number","number",,,
"hs_line_embankment","hs_track_double","Track (double)",TRUE,,"m","length","length, width",,"length",
"hs_line_embankment","hs_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
"hs_line_embankment","hs_pce","Point and crossings",FALSE,,"number","number","number","number",,
"hs_line_embankment","hs_embankment","Embankment",TRUE,"CV-CE-EM","m","length","length, volume",,"length","volume"
"hs_line_bridge","hs_bridge","Bridge",FALSE,,"number","number","number, span","number","span",
"hs_line_bridge","hs_track_double","Track (double)",TRUE,,"m","length","length, width",,"length",
"hs_line_bridge","hs_ole","OLE",TRUE,,"m","length","length, number",,"length","number"
