"asset","parameter","unit","default"
"hs_mitigation_earthworks","volume","m3",
"hs_track_double","width","m",19
"hs_ole","number","number",
"hs_cutting_bu","volume","m3",
"hs_embankment","volume","m3",
"hs_viaduct","area","m^2",
"hs_viaduct","length","m",
"hs_viaduct","width","m",10
"hs_bored_tunnel","diameter","km",0.009
"hs_bored_tunnel","number","number",1
"hs_tunnel_portal","number","number",
"hs_cut_cover_tunnel","diameter","km",0.009
"hs_cut_cover_tunnel","number","number",1
"hs_mined_tunnel","diameter","km",0.009
"hs_mined_tunnel","number","number",1
"rail_ob_rail","span","m",20
"rail_ub_road","span","m",20
"rail_ub","span","m",20
"rail_underpass_footpath","span","m",20
"rail_underpass","span","m",20
"rail_track","number","number",
"rail_track","width","m",19
"rail_ole","number","number",
"cycle_lane_painted","length","m",
"cycle_lane_painted","width","m",2.5
"cycle_lane_stepped","length","m",
"cycle_lane_stepped","width","m",2.5
"cycle_lane_segregated","length","m",
"cycle_lane_segregated","width","m",2.5
"cycle_track_rural","length","m",
"cycle_track_rural","width","m",2.5
"cycle_track_urban","length","m",
"cycle_track_urban","width","m",2.5
"cycle_upgrade_stepped","length","m",
"cycle_upgrade_stepped","width","m",2.5
"cycle_upgrade_segregated","length","m",
"cycle_upgrade_segregated","width","m",2.5
"cycle_upgrade_rail_cycle_path","length","m",
"cycle_upgrade_rail_cycle_path","width","m",2.5
"cycle_stands_open","number","number",1
"cycle_stands_roof","number","number",1
"cycle_docking_station","number","number",1
"cycle_secure_parking","number","number",1
"local_speed_bumps","number","1",
"local_narrowing","number","1",
"foot_road_crossing","number","1",
"foot_bridge","number","1",
"bus_shelter","number","1",
"bus_stop","number","1",
