asset,works_category_level_1,item,quantity,cf_name,input_unit,A5,asset_lifetime,replacements_during_lifetime,no_granular_data_A1_A3,no_granular_data_A4,no_granular_data_B2,no_granular_data_B4
hs_tunnel_portal,Other,hs_tunnel_portal,2,no_granular_data,number,1942,,,9250,1665,,
hs_cut_cover_tunnel,Other,hs_cut_cover_tunnel,1,no_granular_data,m,,,,86,18,,
hs_bored_tunnel,Other,hs_bored_tunnel,1,no_granular_data,m,9.804,,,32.68,0.2614,,
hs_mined_tunnel,Other,hs_mined_tunnel,2,no_granular_data,m,8.6542,,,19.591,2.058,,
hs_line_cutting,Other,hs_line_cutting,1,no_granular_data,number,3850,,,3500,3255,,
hs_embankment,Other,hs_embankment,1,no_granular_data,m,6.952,,,8.8,5.28,,
hs_viaduct,Highways,Viaduct Access Tracks and Footpaths,679.94,"Fill, aggregate and sand General mixture",kg,6.47,30,3,,,,
hs_viaduct,Highways,Concrete kerbing,0.07297,Kerb Pre-cast concrete 125x305mm,m,0.00018,30,3,,,,
hs_viaduct,Highways,Limestone dust,8.41335,Limestone - General,kg,0.00006,30,3,,,,
hs_viaduct,Highways,Kerbing,0.25193,Grasscrete,m2,0.00155,30,3,,,,
hs_viaduct,Highways,Imported fill,1505.04,"Fill, aggregate and sand General mixture",kg,14.31,30,3,,,,
hs_viaduct,Drainage,Geotextiles,13.45994,Polypropylene (PP),kg,0.0136,120,0,,,,
hs_viaduct,Drainage,HDPE Ridgidrain Perforated Pipe,12.72374,HDPE - Pipe,kg,0.00644,120,0,,,,
hs_viaduct,Drainage,PVC Drainage Pipes,5.1241,PVC - Pipe,kg,0.00332,120,0,,,,
hs_viaduct,Drainage,UPVC Membrane,3.23039,UPVC - Film,kg,0.00205,120,0,,,,
hs_viaduct,Drainage,Drainage Stone (m3),1236.61,"Fill, aggregate and sand General mixture",kg,6.71,120,0,,,,
hs_viaduct,Noise Barriers,Acrylic,59.96439,PMMA - Sheet,kg,0.05861,30,3,,,,
hs_viaduct,Noise Barriers,Rockwool,8.25236,Insulation - Rockwool (Stonewool),kg,0.00204,30,3,,,,
hs_viaduct,Noise Barriers,Steel Frame,312.95178,Steel - Section,kg,0.16378,30,3,,,,
hs_viaduct,Noise Barriers,Longitudinal Steel Support Beam,156.88353,Steel - Section,kg,0.0821,30,3,,,,
hs_viaduct,Noise Barriers,Vertical Steel Support Columns,369.67211,Steel - Section,kg,0.19346,30,3,,,,
hs_viaduct,Noise Barriers,Vertical Steel Support Columns,10.80496,Steel - Section,kg,0.00565,30,3,,,,
hs_viaduct,Noise Barriers,Absorptive top edge - beam,954.57864,Steel - Section,kg,0.49957,30,3,,,,
hs_viaduct,Noise Barriers,Absorbative top edge - resonator,6.96499,Polypropylene (PP),kg,0.00642,30,3,,,,
hs_viaduct,Noise Barriers,Steel Cladding on Acrylic Wall,35.05712,Polypropylene (PP),kg,0.0323,30,3,,,,
hs_viaduct,Noise Barriers,Rubber flab,45.14688,Rubber - General,kg,0.02679,30,3,,,,
hs_viaduct,Other,Temporary works - Viaduct Hardstand,56201.78,"Fill, aggregate and sand General mixture",kg,304.94,120,0,,,,
hs_viaduct,Concrete,Piling,16.0908,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.19444,120,0,,,,
hs_viaduct,Concrete,Pile Caps,3.79407,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.0832,120,0,,,,
hs_viaduct,Concrete,Pier,4.66157,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.05087,120,0,,,,
hs_viaduct,Concrete,Abutments,0.08412,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00294,120,0,,,,
hs_viaduct,Concrete,Precast Segments,24.45223,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.35632,120,0,,,,
hs_viaduct,Concrete,Equipment,11.56558,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.08682,120,0,,,,
hs_viaduct,Concrete,Diversion (temporary works),0.05271,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00039,120,0,,,,
hs_viaduct,Concrete,Jetty (temporary works),25.18144,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.231,120,0,,,,
hs_viaduct,Concrete,Construction Compounds (temporary works),3.23763,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.02971,120,0,,,,
hs_viaduct,Concrete,Fencing,0.02726,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00057,30,3,,,,
hs_viaduct,Steel,Piling,2128.1,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Pile Caps,886.82,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Pier,687.79,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Abutments,29.97,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Precast Segments,5448,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Equipment,586.82,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
