"asset","parameter","unit","default"
"Bored Tunnel","diameter","km",0.009
"Bored Tunnel","number","number",
"Building","area","km2",0.1
"Building","number","number",
"Car Park","area","km2",0.1
"Car Park","number","number",
"Cut & Cover Tunnel","diameter","km",0.009
"Cut & Cover Tunnel","number","number",
"Cutting","volume","m3",
"Embankment","volume","m3",
"Emergency Access Point","number","number",
"Green Bridge","span","m",20
"Maintenance Access Point","number","number",
"Mined Tunnel","diameter","km",0.009
"Mined Tunnel","number","number",
"Mitigation Earthworks","volume","m3",
"Overbridge","span","m",20
"Rail Overbridge","span","m",20
"Retained Cutting","volume","m3",
"Retained Embankment","volume","m3",
"Shaft","number","number",
"System railheads","number","number",2
"Tunnel Portal","number","number",
"Underbridge","span","m",20
"Underpass","span","m",20
"Viaduct","width","m",10
"Track (double)","width","m",19
"OLE","number","number",
"Point and crossings","number","number",
"Building","area","km2",0.1
"Building","number","number",1
"Car Park","area","km2",0.1
"Car Park","number","number",1
"Carriageway","length","km",
"Building","area","km2",0.1
"Building","number","number",1
"Building","area","km2",0.1
"Building","number","number",1
"Bored Tunnel","diameter","km",0.009
"Bored Tunnel","number","number",
"Cut & Cover Tunnel","diameter","km",0.009
"Cut & Cover Tunnel","number","number",
"Cutting","volume","m3",
"Embankment","volume","m3",
"Mined Tunnel","diameter","km",0.009
"Mined Tunnel","number","number",
"Mitigation Earthworks","volume","m3",
"Tunnel Portal","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"OLE","number","number",
"Point and crossings","number","number",
"Bridge","span","m",20
"Track (double)","width","m",19
"OLE","number","number",
"Overbridge","span","m",20
"Track (double)","width","m",19
"OLE","number","number",
"Underbridge","span","m",20
"Track (double)","width","m",19
"OLE","number","number",
"Green Bridge","span","m",20
"Underpass","span","m",20
"Viaduct","width","m",10
"Bored Tunnel","diameter","km",0.009
"Bored Tunnel","number","number",1
"Mitigation Earthworks","volume","m3",
"Tunnel Portal","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"Cut & Cover Tunnel","diameter","km",0.009
"Cut & Cover Tunnel","number","number",1
"Mitigation Earthworks","volume","m3",
"Tunnel Portal","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"Mined Tunnel","diameter","km",0.009
"Mined Tunnel","number","number",1
"Mitigation Earthworks","volume","m3",
"Tunnel Portal","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"Building","area","km2",0.1
"Building","number","number",1
"Car Park","area","km2",0.1
"Car Park","number","number",1
"Circulation Feature","number","number",1
"Track (double)","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"Point and crossings","number","number",
"Building","area","km2",0.1
"Building","number","number",1
"Car Park","area","km2",0.1
"Car Park","number","number",1
"Track (double)","number","number",
"Track (double)","width","m",19
"OLE","number","number",
"Point and crossings","number","number",
