mode,intervention_class,travel_mode,modeshift_low,modeshift_average,modeshift_high,induceddemand_low,induceddemand_average,induceddemand_high
High speed rail,New construction,walk,0,0,0,0,0,0
High speed rail,New construction,cycle,0,0,0,0,0,0
High speed rail,New construction,drive,0.06,0.11,0.34,0.11,0.2,0.5
High speed rail,New construction,passenger,0.06,0.11,0.34,0.11,0.2,0.5
High speed rail,New construction,rail,0,0,0,0.11,0.2,0.5
High speed rail,New construction,bus,0,0,0,0,0,0
High speed rail,New construction,lgv,0,0,0,0,0,0
High speed rail,New construction,hgv,0,0,0,0,0,0
Rail,New construction,walk,0,0,0,0,0,0
Rail,New construction,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Rail,New construction,drive,0.01,0.02,0.03,0.01,0.02,0.03
Rail,New construction,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Rail,New construction,rail,0,0,0,0.01,0.02,0.03
Rail,New construction,bus,0.01,0.02,0.03,0.01,0.02,0.03
Rail,New construction,lgv,0,0,0,0,0,0
Rail,New construction,hgv,0,0,0,0,0,0
Rail,Upgrade,walk,0,0,0,0,0,0
Rail,Upgrade,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Rail,Upgrade,drive,0.01,0.02,0.03,0.01,0.02,0.03
Rail,Upgrade,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Rail,Upgrade,rail,0,0,0,0.01,0.02,0.03
Rail,Upgrade,bus,0.01,0.02,0.03,0.01,0.02,0.03
Rail,Upgrade,lgv,0,0,0,0,0,0
Rail,Upgrade,hgv,0,0,0,0,0,0
Light Rail,New construction,walk,0,0,0,0,0,0
Light Rail,New construction,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,New construction,drive,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,New construction,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,New construction,rail,0,0,0,0.01,0.02,0.03
Light Rail,New construction,bus,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,New construction,lgv,0,0,0,0,0,0
Light Rail,New construction,hgv,0,0,0,0,0,0
Light Rail,Upgrade,walk,0,0,0,0,0,0
Light Rail,Upgrade,cycle,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,Upgrade,drive,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,Upgrade,passenger,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,Upgrade,rail,0,0,0,0.01,0.02,0.03
Light Rail,Upgrade,bus,0.01,0.02,0.03,0.01,0.02,0.03
Light Rail,Upgrade,lgv,0,0,0,0,0,0
Light Rail,Upgrade,hgv,0,0,0,0,0,0
Bicycle,New construction,walk,0.014,0.0155,0.017,0.069,0.1195,0.17
Bicycle,New construction,cycle,0,0,0,0.069,0.1195,0.17
Bicycle,New construction,drive,0.03,0.0755,0.121,0.069,0.1195,0.17
